time,soc
1709856000000000000,100
1709859600000000000,86
1709863200000000000,80
1709866800000000000,77
1709870400000000000,75
1709874000000000000,72
1709877600000000000,68
1709881200000000000,62
1709884800000000000,57
1709888400000000000,52
1709892000000000000,51
1709895600000000000,48
1709899200000000000,47
1709902800000000000,44
1709906400000000000,43
1709910000000000000,41
1709913600000000000,40
1709917200000000000,38
1709920800000000000,36
1709924400000000000,34
1709928000000000000,30
1709931600000000000,29
1709935200000000000,25
1709938800000000000,18
